,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2011,Manuel Neuer,Goalkeeper,34,£25.20m,FC Schalke 04,Bundesliga,Bayern Munich ,Bundesliga,£27.00m,https://www.transfermarkt.co.uk/manuel-neuer/profil/spieler/17259
1,2011,David de Gea,Goalkeeper,29,£10.80m,Atlético Madrid,LaLiga,Man Utd,Premier League,£22.50m,https://www.transfermarkt.co.uk/david-de-gea/profil/spieler/59377
2,2011,Fernando Muslera,Goalkeeper,34,£10.80m,Lazio,Serie A,Galatasaray,Süper Lig,£6.08m,https://www.transfermarkt.co.uk/fernando-muslera/profil/spieler/58088
3,2011,Emiliano Viviano,Goalkeeper,34,£10.80m,Bologna,Serie A,Inter,Serie A,£3.69m,https://www.transfermarkt.co.uk/emiliano-viviano/profil/spieler/24316
4,2011,Diego Alves,Goalkeeper,35,£10.80m,UD Almería,LaLiga2,Valencia,LaLiga,£2.70m,https://www.transfermarkt.co.uk/diego-alves/profil/spieler/42373
5,2011,Maarten Stekelenburg,Goalkeeper,38,£9.90m,Ajax,Eredivisie,AS Roma,Serie A,£6.59m,https://www.transfermarkt.co.uk/maarten-stekelenburg/profil/spieler/4311
6,2011,Emiliano Viviano,Goalkeeper,34,£9.00m,Inter,Serie A,US Palermo,Serie A,£7.65m,https://www.transfermarkt.co.uk/emiliano-viviano/profil/spieler/24316
7,2011,Salvatore Sirigu,Goalkeeper,33,£9.00m,US Palermo,Serie A,Paris SG,Ligue 1,£3.51m,https://www.transfermarkt.co.uk/salvatore-sirigu/profil/spieler/25508
8,2011,Sébastien Frey,Goalkeeper,40,£7.65m,Fiorentina,Serie A,Genoa,Serie A,£8.10m,https://www.transfermarkt.co.uk/sebastien-frey/profil/spieler/5854
9,2011,Thibaut Courtois,Goalkeeper,28,£3.60m,KRC Genk,Jupiler Pro League,Chelsea,Premier League,£8.06m,https://www.transfermarkt.co.uk/thibaut-courtois/profil/spieler/108390
10,2011,Roberto,Goalkeeper,34,£5.04m,Benfica,Liga NOS,Real Zaragoza,LaLiga,£7.74m,https://www.transfermarkt.co.uk/roberto/profil/spieler/37403
11,2011,Stéphane Ruffier,Goalkeeper,34,£7.20m,Monaco,Ligue 2,Saint-Étienne,Ligue 1,£2.70m,https://www.transfermarkt.co.uk/stephane-ruffier/profil/spieler/39910
12,2011,Guillermo Ochoa,Goalkeeper,35,£7.20m,América,Primera Clausura,AC Ajaccio,Ligue 1,Free transfer,https://www.transfermarkt.co.uk/guillermo-ochoa/profil/spieler/29559
13,2011,Bernd Leno,Goalkeeper,28,£4.50m,VfB Stuttgart,Bundesliga,Bay. Leverkusen,Bundesliga,£6.75m,https://www.transfermarkt.co.uk/bernd-leno/profil/spieler/72476
14,2011,Gianluca Curci,Goalkeeper,35,£6.75m,Sampdoria,Serie B,AS Roma,Serie A,£450,https://www.transfermarkt.co.uk/gianluca-curci/profil/spieler/24001
15,2011,Sergio Romero,Goalkeeper,33,£6.30m,AZ Alkmaar,Eredivisie,Sampdoria,Serie B,£1.89m,https://www.transfermarkt.co.uk/sergio-romero/profil/spieler/30690
16,2011,Eduardo,Goalkeeper,38,£5.85m,Genoa,Serie A,Benfica,Liga NOS,Loan,https://www.transfermarkt.co.uk/eduardo/profil/spieler/34159
