transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
2007,Craig Gordon,Heart of Midl.,Premiership,Sunderland,Premier League,9000000,1000000,Goalkeeper,1983,24
2007,Diego LÃ³pez,Real Madrid,LaLiga,Villarreal,LaLiga,6000000,2000000,Goalkeeper,1982,25
2007,Ã“scar Ustari,Independiente,Torneo Final,Getafe,LaLiga,5000000,5000000,Goalkeeper,1986,21
2007,Raphael SchÃ¤fer,1.FC Nuremberg,Bundesliga,VfB Stuttgart,Bundesliga,1000000,4000000,Goalkeeper,1979,28
2007,Charles Itandje,Lens,Ligue 1,Liverpool,Premier League,1000000,4000000,Goalkeeper,1983,24
2007,Lukasz Fabianski,Legia Warszawa,Ekstraklasa,Arsenal,Premier League,3000000,3000000,Goalkeeper,1985,22
2007,Tomasz Kuszczak,West Brom,Championship,Man Utd,Premier League,3000000,3000000,Goalkeeper,1982,25
2007,Ricardo,Sporting CP,Liga NOS,Real Betis,LaLiga,3000000,3000000,Goalkeeper,1976,31
2007,Tim Howard,Man Utd,Premier League,Everton,Premier League,3000000,2000000,Goalkeeper,1979,28
2007,Gorka Iraizoz,Espanyol,LaLiga,Athletic,LaLiga,3000000,1000000,Goalkeeper,1981,26
2007,Vedran Runje,Besiktas,SÃ¼per Lig,Lens,Ligue 1,900000,3000000,Goalkeeper,1976,31
2007,NicolÃ¡s Navarro,Argentinos Jrs.,Torneo Final,SSC Napoli,Serie A,3000000,1000000,Goalkeeper,1985,22
2007,Boy Waterman,Heerenveen,Eredivisie,AZ Alkmaar,Eredivisie,2000000,720000,Goalkeeper,1984,23
2007,Diego Alves,AtlÃ©tico-MG,SÃ©rie A,UD AlmerÃ­a,LaLiga,2000000,360000,Goalkeeper,1985,22
2007,Pepe,FC Porto,Liga NOS,Real Madrid,LaLiga,27000000,27000000,Defender,1983,24
2007,Gabriel Milito,Real Zaragoza,LaLiga,FC Barcelona,LaLiga,18000000,12000000,Defender,1980,27
2007,Cristian Chivu,AS Roma,Serie A,Inter,Serie A,14000000,13000000,Defender,1981,26
2007,Ã‰ric Abidal,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,13000000,12000000,Defender,1979,28
2007,Cicinho,Real Madrid,LaLiga,AS Roma,Serie A,9000000,13000000,Defender,1980,27
2007,Marcell Jansen,Bor. M'gladbach,2. Bundesliga,Bayern Munich ,Bundesliga,12000000,9000000,Defender,1986,21
2007,Vedran Corluka,Dinamo Zagreb,1.HNL,Man City,Premier League,11000000,3000000,Defender,1986,21
2007,Alan Hutton,Rangers,Premiership,Spurs,Premier League,11000000,7000000,Defender,1985,22
2007,Gabriel Heinze,Man Utd,Premier League,Real Madrid,LaLiga,10000000,11000000,Defender,1978,29
2007,Jorge Andrade,Dep. La CoruÃ±a,LaLiga,Juventus,Serie A,9000000,11000000,Defender,1978,29
2007,YounÃ¨s Kaboul,AJ Auxerre,Ligue 1,Spurs,Premier League,10000000,6000000,Defender,1986,21
2007,Breno,SÃ£o Paulo,SÃ©rie A,Bayern Munich ,Bundesliga,10000000,10000000,Defender,1990,17
2007,Branislav Ivanovic,Loko Moscow,Premier Liga,Chelsea,Premier League,10000000,10000000,Defender,1984,23
2007,Juan,Bay. Leverkusen,Bundesliga,AS Roma,Serie A,5000000,10000000,Defender,1979,28
2007,Jonathan Woodgate,Real Madrid,LaLiga,Middlesbrough,Premier League,8000000,9000000,Defender,1980,27
2007,Jonathan Woodgate,Middlesbrough,Premier League,Spurs,Premier League,9000000,6000000,Defender,1980,27
2007,Julien Faubert,G. Bordeaux,Ligue 1,West Ham,Premier League,8000000,9000000,Defender,1983,24
2007,Martin Skrtel,Zenit S-Pb,Premier Liga,Liverpool,Premier League,9000000,3000000,Defender,1985,22
2007,Alexis Ruano,Getafe,LaLiga,Valencia,LaLiga,5000000,9000000,Defender,1985,22
2007,Bacary Sagna,AJ Auxerre,Ligue 1,Arsenal,Premier League,8000000,5000000,Defender,1983,24
2007,Fabio Grosso,Inter,Serie A,Olympique Lyon,Ligue 1,7000000,7000000,Defender,1978,29
2007,JosÃ© Enrique,Villarreal,LaLiga,Newcastle,Premier League,7000000,720000,Defender,1986,21
2007,Anderson,FC Porto,Liga NOS,Man Utd,Premier League,28000000,22000000,Midfielder,1988,19
2007,Wesley Sneijder,Ajax,Eredivisie,Real Madrid,LaLiga,24000000,14000000,Midfielder,1984,23
2007,Owen Hargreaves,Bayern Munich ,Bundesliga,Man Utd,Premier League,22000000,22000000,Midfielder,1981,26
2007,Javier Mascherano,West Ham,Premier League,Liverpool,Premier League,20000000,-1,Midfielder,1984,23
2007,Manuel Fernandes,Benfica,Liga NOS,Valencia,LaLiga,16000000,7000000,Midfielder,1986,21
2007,Ã‰ver Banega,Boca Juniors,Torneo Final,Valencia,LaLiga,16000000,13000000,Midfielder,1988,19
2007,Ã‰merson,Real Madrid,LaLiga,AC Milan,Serie A,4000000,14000000,Midfielder,1976,31
2007,Tiago,Olympique Lyon,Ligue 1,Juventus,Serie A,11000000,13000000,Midfielder,1981,26
2007,Royston Drenthe,Feyenoord,Eredivisie,Real Madrid,LaLiga,12000000,11000000,Midfield,1987,20
2007,RaÃºl GarcÃ­a,CA Osasuna,LaLiga,AtlÃ©tico Madrid,LaLiga,11000000,10000000,Midfielder,1986,21
2007,Nigel Reo-Coker,West Ham,Premier League,Aston Villa,Premier League,11000000,3000000,Midfielder,1984,23
2007,Elano,Shakhtar D.,Vyshcha Liga,Man City,Premier League,10000000,6000000,Midfielder,1981,26
2007,Kieron Dyer,Newcastle,Premier League,West Ham,Premier League,10000000,8000000,Midfield,1979,28
2007,Scott Parker,Newcastle,Premier League,West Ham,Premier League,9000000,10000000,Midfielder,1981,26
2007,Mohamed Sissoko,Liverpool,Premier League,Juventus,Serie A,9000000,8000000,Midfielder,1985,22
2007,Yaya TourÃ©,Monaco,Ligue 1,FC Barcelona,LaLiga,8000000,9000000,Midfielder,1983,24
2007,Sergio AlmirÃ³n,FC Empoli,Serie A,Juventus,Serie A,8000000,9000000,Midfielder,1981,26
2007,Sulley Muntari,Udinese,Serie A,Portsmouth,Premier League,9000000,6000000,Midfielder,1984,23
2007,Lucas Leiva,GrÃªmio,SÃ©rie A,Liverpool,Premier League,9000000,5000000,Midfielder,1987,20
2007,Thierry Henry,Arsenal,Premier League,FC Barcelona,LaLiga,21000000,40000000,Forward,1977,30
2007,Fernando Torres,AtlÃ©tico Madrid,LaLiga,Liverpool,Premier League,34000000,27000000,Forward,1984,23
2007,Arjen Robben,Chelsea,Premier League,Real Madrid,LaLiga,31000000,20000000,Defender,1984,23
2007,Franck RibÃ©ry,Marseille,Ligue 1,Bayern Munich ,Bundesliga,27000000,20000000,Forward,1983,24
2007,Luca Toni,Fiorentina,Serie A,Bayern Munich ,Bundesliga,9000000,25000000,Forward,1977,30
2007,Nani,Sporting CP,Liga NOS,Man Utd,Premier League,22000000,22000000,Forward,1987,20
2007,Darren Bent,Charlton,Championship,Spurs,Premier League,22000000,6000000,Forward,1984,23
2007,Alexandre Pato,Internacional,SÃ©rie A,AC Milan,Serie A,21000000,3000000,Forward,1989,18
2007,Miroslav Klose,Werder Bremen,Bundesliga,Bayern Munich ,Bundesliga,13000000,20000000,Forward,1978,29
2007,Diego ForlÃ¡n,Villarreal,LaLiga,AtlÃ©tico Madrid,LaLiga,18000000,8000000,Forward,1979,28
2007,Florent Malouda,Olympique Lyon,Ligue 1,Chelsea,Premier League,17000000,18000000,Forward,1980,27
2007,SimÃ£o,Benfica,Liga NOS,AtlÃ©tico Madrid,LaLiga,18000000,13000000,Forward,1980,27
2007,Nicolas Anelka,Bolton,Premier League,Chelsea,Premier League,16000000,18000000,Forward,1979,28
2007,Abdul Kader Keita,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,15000000,16000000,Defender,1981,26
2007,Ryan Babel,Ajax,Eredivisie,Liverpool,Premier League,15000000,4000000,Forward,1987,20
2007,Afonso Alves,Heerenveen,Eredivisie,Middlesbrough,Premier League,15000000,11000000,Forward,1981,26
2007,JosÃ© Antonio Reyes,Arsenal,Premier League,AtlÃ©tico Madrid,LaLiga,10000000,15000000,Defender,1985,22
2007,Yakubu Aiyegbeni,Middlesbrough,Premier League,Everton,Premier League,14000000,10000000,Forward,1983,24
2007,Mirko Vucinic,Lecce,Serie B,AS Roma,Serie A,14000000,8000000,Forward,1983,24
2007,Gareth Bale,Southampton,Championship,Spurs,Premier League,13000000,6000000,Defender,1989,18
2007,Nikola Zigic,Racing,LaLiga,Valencia,LaLiga,12000000,9000000,Forward,1980,27
2007,Luciano,Germ. Beerschot,Jupiler Pro League,FC Groningen,Eredivisie,360000,1000000,Goalkeeper,1980,27
2007,Kieran Richardson,Man Utd,Premier League,Sunderland,Premier League,7000000,4000000,Defender,1985,22
2007,Aquivaldo Mosquera,CF Pachuca,Primera Clausura,Sevilla FC,LaLiga,7000000,-1,Defender,1981,26
2007,Domenico Criscito,Genoa,Serie A,Juventus,Serie A,6000000,900000,Defender,1987,20
2007,Nelson Rivas,River Plate,Torneo Final,Inter,Serie A,6000000,2000000,Defender,1983,24
2007,Leighton Baines,Wigan,Premier League,Everton,Premier League,6000000,3000000,Defender,1985,22
2007,GaÃ«l Givet,Monaco,Ligue 1,Marseille,Ligue 1,4000000,5000000,Defender,1982,25
2007,Phil Jagielka,Sheff Utd,Championship,Everton,Premier League,5000000,2000000,Defender,1982,25
2007,Zoumana Camara,Saint-Ã‰tienne,Ligue 1,Paris SG,Ligue 1,5000000,4000000,Defender,1979,28
2007,Ãngel LÃ³pez,Celta de Vigo,Liga BBVA,Villarreal,LaLiga,5000000,1000000,Defender,1981,26
2007,Gary Cahill,Aston Villa,Premier League,Bolton,Premier League,5000000,1000000,Defender,1986,21
2007,Carlos Diogo,Real Madrid,LaLiga,Real Zaragoza,LaLiga,4000000,5000000,Defender,1983,24
2007,Habib BÃ¨ye,Marseille,Ligue 1,Newcastle,Premier League,2000000,5000000,Defender,1978,29
2007,Javier Pinola,AtlÃ©tico Madrid,LaLiga,1.FC Nuremberg,Bundesliga,1000000,5000000,Defender,1983,24
2007,Marco Andreolli,Inter,Serie A,AS Roma,Serie A,4000000,855000,Defender,1986,21
2007,Juliano Belletti,FC Barcelona,LaLiga,Chelsea,Premier League,4000000,4000000,Defender,1976,31
2007,Glen Johnson,Chelsea,Premier League,Portsmouth,Premier League,4000000,3000000,Defender,1984,23
