Pos,Country,season_1994,season_1995,season_1996,season_1997,season_1998, Pts , Clubs
1 ,Italy,14.142,13.285,9.5,10.142,12.285,59.354,8
2 ,Germany,10.666,10.166,8.833,9.142,11,49.807,6
3 ,Spain,8.666,8.6,11,11.6,8.428,48.294,8
4 ,France,8.2,9,9.875,7.125,6.8,41,7
5 ,Netherlands,2.6,7.4,12.5,6.25,6.833,35.583,6
6 ,England,8.5,7.333,4.333,7.4,7.785,35.351,7
7 ,Portugal,9.8,6,4.4,7.4,3.416,31.016,6
8 ,Greece,4.5,3.5,7.25,3.25,6.5,25,4
9 ,Russia,4,2.8,5.4,2.75,9.875,24.825,4
10 ,Austria,6,5.75,4.5,3.875,3.875,24,3
11 ,Czech Republic,1,2.5,10.333,3.666,4.875,22.374,3
12 ,Turkey,4.75,4.25,1.625,6.875,4.4,21.9,5
13 ,Denmark,3.375,4.625,4.75,4.3,3.25,20.3,4
14 ,Norway,4.333,2.833,3.125,5.375,4.6,20.266,5
15 ,Belgium,5.4,3.8,1.9,4.5,3.9,19.5,3
16 ,Croatia,3,6.5,0.5,3.333,5.166,18.499,4
17 ,Sweden,1.25,6.125,2.25,4.8,1.9,16.325,4
18 ,Switzerland,1.75,3.125,3.5,5.375,2.25,16,4
19 ,Ukraine,3,2.5,3.333,1.5,5.625,15.958,2
20 ,Romania,2.2,3.2,2.875,4.5,3.125,15.9,4
21 ,Poland,2.5,2.5,4.125,4.125,2.5,15.75,4
22 ,Hungary,1.5,3.375,3,3.166,4.125,15.166,3
23 ,Scotland,3,1.25,3.5,3.125,3.125,14,3
24 ,Georgia,1.5,4,0.5,4,2.666,12.666,3
25 ,Slovakia,1.666,4,1.833,2.5,2.666,12.665,3
26 ,Cyprus,1.833,3.333,1.666,2.833,2.333,11.998,3
27 ,Slovenia,1.833,2,1.666,1.666,3.166,10.331,3
28 ,Israel,3.75,1,1.25,1.125,3.166,10.291,3
29 ,Belarus,1,1.5,3.75,1.5,1.833,9.583,2
30 ,Finland,1.833,2,1,1.875,1.166,7.874,3
31 ,Iceland,2.166,1,1.833,1.333,1.5,7.832,2
32 ,Bulgaria,1.75,0.875,1.875,1.333,0.666,6.499,3
33 ,Latvia,1,0.75,1.333,1.333,1.666,6.082,3
34 ,North Macedonia,-,0.5,2.25,1.166,0.666,4.582,2
35 ,Moldova,0.5,0,3,0.5,0.333,4.333,2
36 ,Lithuania,0,1.5,1,1,0.666,4.166,2
37 ,Serbia,-,-,0.5,2.25,1.333,4.083,2
38 ,Northern Ireland,1.333,0.666,0.5,0.333,0.166,2.998,3
39 ,Liechtenstein,1.5,0,0,1,0,2.5,1
40 ,Estonia,0.25,0,0.75,1.333,0.166,2.499,2
41 ,Malta,1,0.666,0.166,0.333,0.333,2.498,3
42 ,Armenia,-,0.5,0.75,0.833,0.333,2.416,3
43 ,Wales,0.5,0,0.333,1.333,0,2.166,3
44 ,Republic of Ireland,0.666,0.5,0.333,0.333,0.166,1.998,2
45 ,Faroe Islands,0.5,0,0.75,0,0.166,1.416,2
46 ,Albania,0.5,0.5,0.333,0,-,1.333,2
47 ,Luxembourg,0,0,0.833,0.166,0,0.999,2
48 ,Azerbaijan,-,0,0.25,0.666,0,0.916,2
49 ,Andorra,-,-,-,-,0,0,1
Pos,Country,,,,,,,
,,,,,,,,
1 ,Italy,,,,,,,
2 ,Germany,,,,,,,
3 ,Spain,,,,,,,
4 ,France,,,,,,,
5 ,Netherlands,,,,,,,
6 ,England,,,,,,,
7 ,Portugal,,,,,,,
8 ,Greece,,,,,,,
9 ,Russia,,,,,,,
10 ,Austria,,,,,,,
11 ,Czech Republic,,,,,,,
12 ,Turkey,,,,,,,
13 ,Denmark,,,,,,,
14 ,Norway,,,,,,,
15 ,Belgium,,,,,,,
16 ,Croatia,,,,,,,
17 ,Sweden,,,,,,,
18 ,Switzerland,,,,,,,
19 ,Ukraine,,,,,,,
20 ,Romania,,,,,,,
21 ,Poland,,,,,,,
22 ,Hungary,,,,,,,
23 ,Scotland,,,,,,,
24 ,Georgia,,,,,,,
25 ,Slovakia,,,,,,,
26 ,Cyprus,,,,,,,
27 ,Slovenia,,,,,,,
28 ,Israel,,,,,,,
29 ,Belarus,,,,,,,
30 ,Finland,,,,,,,
31 ,Iceland,,,,,,,
32 ,Bulgaria,,,,,,,
33 ,Latvia,,,,,,,
34 ,North Macedonia,,,,,,,
35 ,Moldova,,,,,,,
36 ,Lithuania,,,,,,,
37 ,Serbia,,,,,,,
38 ,Northern Ireland,,,,,,,
39 ,Liechtenstein,,,,,,,
40 ,Estonia,,,,,,,
41 ,Malta,,,,,,,
42 ,Armenia,,,,,,,
43 ,Wales,,,,,,,
44 ,Republic of Ireland,,,,,,,
45 ,Faroe Islands,,,,,,,
46 ,Albania,,,,,,,
47 ,Luxembourg,,,,,,,
48 ,Azerbaijan,,,,,,,
49 ,Andorra,,,,,,,
