Competition,Country,Clubs,Player,Avg. age,Foreigners,Game ratio of foreign players,Goals per match,Average market value,Total value
Premier League,England,20,567,26.6,61.60%,63.20%,3.79,$473.80m,$9.48bn
Serie A,Italy,20,593,26.8,59.70%,62.50%,3.5,$278.73m,$5.57bn
LaLiga,Spain,20,503,27.4,39.20%,38.00%,2.21,$274.30m,$5.49bn
Bundesliga,Germany,18,513,25.4,57.30%,60.90%,3.41,$264.36m,$4.76bn
Ligue 1,France,20,564,25.2,47.70%,47.30%,2.67,$172.68m,$3.45bn
Liga NOS,Portugal,18,532,25.4,64.70%,64.50%,2.46,$66.68m,$1.20bn
Premier Liga,Russia,16,400,26.5,30.50%,39.10%,2.4,$60.35m,$965.53m
Eredivisie,Netherlands,18,466,24.4,43.60%,43.10%,3.03,$53.14m,$956.45m
Süper Lig,Turkey,21,598,27.3,51.50%,63.90%,2.13,$38.30m,$804.40m
Jupiler Pro League,Belgium,18,533,24.9,59.80%,62.00%,2.92,$43.61m,$784.93m
Premier Liga,Ukraine,14,368,25.7,20.40%,19.20%,2.94,$26.65m,$373.12m
Super League 1,Greece,14,427,25.7,49.90%,61.80%,2.13,$23.64m,$331.02m
Bundesliga,Austria,12,323,24.8,31.60%,29.50%,3.42,$27.27m,$327.25m
Scottish Premiership,Scotland,12,310,25.9,49.70%,50.30%,2.44,$22.14m,$265.62m
Super League,Switzerland,10,296,24.3,49.00%,49.30%,2.6,$23.46m,$234.63m
Fortuna Liga,Czech Republic,18,481,26.1,24.30%,21.70%,3.02,$12.82m,$230.84m
Superligaen,Denmark,12,314,24.7,37.90%,35.00%,3.21,$19.01m,$228.09m
Super liga Srbije,Serbia,20,580,24.7,15.70%,15.90%,2.9,$10.85m,$216.95m
PKO Ekstraklasa,Poland,16,496,25,33.70%,41.30%,2.88,$13.25m,$211.97m
Liga 1,Romania,16,491,25.6,30.80%,32.30%,2.62,$12.63m,$202.10m
1.HNL,Croatia,10,280,24.8,39.30%,37.90%,2.72,$19.41m,$194.10m
Allsvenskan,Sweden,16,418,25.9,31.10%,34.80%,2.78,$11.02m,$176.30m
Eliteserien,Norway,16,402,25.4,29.60%,29.60%,3.24,$8.66m,$138.52m
Protathlima Cyta,Cyprus,14,408,26.7,61.80%,73.40%,2.65,$9.75m,$136.57m
Ligat ha'Al,Israel,14,404,24.9,19.30%,26.70%,3.07,$9.18m,$128.45m
